id,product_name,product_rating,product_current_price,product_old_price,product_url,updated_at
57,Sonic X Shadow Generations PS5 Game Pre-Order,,£39.99,null,https://www.argos.co.uk/product/2151074,1726412329068
58,Marvel's Spider-Man Miles Morales PS5 Game,"Rating 4.900173 out of 5
(173)",£44.99,null,https://www.argos.co.uk/product/5811270,1726412329118
59,The Last Of Us Part I PS5 Game,"Rating 4.900087 out of 5
(87)",£59.99,null,https://www.argos.co.uk/product/6820095,1726412329164
60,Assassin's Creed Valhalla PS5 Game,"Rating 4.800111 out of 5
(111)",£16.99,null,https://www.argos.co.uk/product/6791351,1726412329196
61,FIFA 23 PS5 Game,"Rating 4.800091 out of 5
(91)",£10.00,null,https://www.argos.co.uk/product/1243505,1726412329232
62,Ratchet & Clank: Rift Apart PS5 Game,"Rating 4.800069 out of 5
(69)",£59.99,null,https://www.argos.co.uk/product/5028180,1726412329278
63,Dead Space PS5 Game,"Rating 4.900044 out of 5
(44)",£46.99,null,https://www.argos.co.uk/product/5641000,1726412329332
64,Mortal Kombat 11 Ultimate PS5 Game,"Rating 4.800043 out of 5
(43)",£19.99,null,https://www.argos.co.uk/product/7123131,1726412329376
65,Final Fantasy XVI PS5 Game,"Rating 4.70005 out of 5
(50)",£39.99,null,https://www.argos.co.uk/product/7145377,1726412329416
66,LEGO Star Wars: The Skywalker Saga PS5 Game,"Rating 4.800039 out of 5
(39)",£15.99,null,https://www.argos.co.uk/product/4650906,1726412329468
67,Dead Island 2: Day One Edition PS5 Game,"Rating 4.800036 out of 5
(36)",£28.99,null,https://www.argos.co.uk/product/6791557,1726412329506
68,Final Fantasy VII: Rebirth Standard Edition PS5 Game,"Rating 4.900028 out of 5
(28)",£58.99,null,https://www.argos.co.uk/product/3417982,1726412329545
69,Far Cry 6 PS5 Game,"Rating 4.500067 out of 5
(67)",£16.99,null,https://www.argos.co.uk/product/5794490,1726412329622
70,Mortal Kombat 1 PS5 Game,"Rating 4.700035 out of 5
(35)",£29.99,null,https://www.argos.co.uk/product/4841959,1726412329676
71,Need For Speed Unbound PS5 Game,"Rating 4.900022 out of 5
(22)",£20.99,null,https://www.argos.co.uk/product/6295132,1726412329720
72,Assassin's Creed Mirage PS5 Game,"Rating 4.500047 out of 5
(47)",£28.99,null,https://www.argos.co.uk/product/4845412,1726412329761
73,Crisis Core: Final Fantasy VII Reunion PS5 Game,"Rating 4.800021 out of 5
(21)",£21.99,null,https://www.argos.co.uk/product/7128875,1726412329796
74,Street Fighter 6 PS5 Game,"Rating 4.900016 out of 5
(16)",£22.99,null,https://www.argos.co.uk/product/3989496,1726412329839
75,RoboCop: Rogue City PS5 Game,"Rating 4.700021 out of 5
(21)",£37.99,null,https://www.argos.co.uk/product/6824091,1726412329894
76,TEKKEN 8 Launch Edition PS5 Game,"Rating 4.800015 out of 5
(15)",£59.99,null,https://www.argos.co.uk/product/6936271,1726412329962
77,Sonic Frontiers PS5 Game,"Rating 4.800015 out of 5
(15)",£29.99,null,https://www.argos.co.uk/product/5259870,1726412330000
78,The Witcher 3: Wild Hunt - Complete Edition PS5 Game,"Rating 4.900012 out of 5
(12)",£15.49,null,https://www.argos.co.uk/product/7125830,1726412330047
79,Gotham Knights PS5 Game,"Rating 4.500022 out of 5
(22)",£19.99,null,https://www.argos.co.uk/product/5664946,1726412330100
80,Lords Of The Fallen PS5 Game,"Rating 4.900011 out of 5
(11)",£29.99,null,https://www.argos.co.uk/product/4653013,1726412330132
81,PGA TOUR Road To The Masters PS5 Game,"Rating 4.600017 out of 5
(17)",£20.99,null,https://www.argos.co.uk/product/5817487,1726412330169
82,Hot Wheels Unleashed PS5 Game,"Rating 4.800012 out of 5
(12)",£11.00,null,https://www.argos.co.uk/product/9565515,1726412330233
83,Avatar: Frontiers Of Pandora PS5 Game,"Rating 4.800012 out of 5
(12)",£33.99,null,https://www.argos.co.uk/product/3989032,1726412330286
84,Sniper Elite 5 PS5 Game,"Rating 4.90001 out of 5
(10)",£23.99,null,https://www.argos.co.uk/product/5665914,1726412330330
85,Five Nights At Freddy's: Security Breach PS5 Game,"Rating 4.900009 out of 5
(9)",£27.99,null,https://www.argos.co.uk/product/6670001,1726412330370
86,Dragon's Dogma II Steelbook Edition PS5 Game,"Rating 4.900009 out of 5
(9)",£49.99,null,https://www.argos.co.uk/product/4630122,1726412330421
87,Dragon Ball Z: Kakarot PS5 Game,"Rating 4.80001 out of 5
(10)",£13.99,null,https://www.argos.co.uk/product/5812200,1726412330458
88,Sonic Origins Plus PS5 Game,"Rating 4.800006 out of 5
(6)",£21.99,null,https://www.argos.co.uk/product/5867169,1726412330503
89,Skull And Bones PS5 Game,"Rating 4.800005 out of 5
(5)",£31.99,null,https://www.argos.co.uk/product/3420845,1726412330553
90,Banishers: Ghosts Of New Eden PS5 Game,"Rating 5.000004 out of 5
(4)",£46.99,null,https://www.argos.co.uk/product/3989829,1726412330630
91,TopSpin 2K25 PS5 Game,"Rating 4.800004 out of 5
(4)",£31.99,null,https://www.argos.co.uk/product/4650810,1726412330671
92,Madden NFL 24 PS5 Game,"Rating 5.000003 out of 5
(3)",£23.99,null,https://www.argos.co.uk/product/7122242,1726412330721
93,LEGO 2K Drive PS5 Game,"Rating 4.500004 out of 5
(4)",£14.99,null,https://www.argos.co.uk/product/7128002,1726412330774
94,Clive 'N' Wrench PS5 Game,"Rating 5.000002 out of 5
(2)",£18.99,null,https://www.argos.co.uk/product/5792193,1726412330813
95,Thymesia PS5 Game,"Rating 5.000002 out of 5
(2)",£21.99,null,https://www.argos.co.uk/product/2845902,1726412330856
96,Hitman: World Of Assassination PS5 Game,"Rating 4.100007 out of 5
(7)",£27.99,null,https://www.argos.co.uk/product/4729435,1726412330921
97,Fortnite Transformers Pack PS5 Game,"Rating 4.500002 out of 5
(2)",£18.49,null,https://www.argos.co.uk/product/7047028,1726412330958
98,System Shock PS5 Game,"Rating 4.500002 out of 5
(2)",£32.99,null,https://www.argos.co.uk/product/5813560,1726412330995
99,Aliens: Dark Descent PS5 Game,"Rating 4.300003 out of 5
(3)",£31.99,null,https://www.argos.co.uk/product/2720027,1726412331034
100,Jurassic Park Classic Games Collection PS5 Game,"Rating 5.000001 out of 5
(1)",£31.99,null,https://www.argos.co.uk/product/5813577,1726412331084
101,Bluey: The Videogame PS5 Game,"Rating 5.000001 out of 5
(1)",£30.99,null,https://www.argos.co.uk/product/5661956,1726412331122
102,The Invincible PS5 Game,"Rating 5.000001 out of 5
(1)",£23.99,null,https://www.argos.co.uk/product/4657882,1726412331160
103,You Suck At Parking PS5 Game,"Rating 5.000001 out of 5
(1)",£10.99,null,https://www.argos.co.uk/product/4633260,1726412331233
104,Jurassic World Evolution 2 PS5 Game,"Rating 5.000001 out of 5
(1)",£40.99,null,https://www.argos.co.uk/product/4633150,1726412331279
105,Dragon Ball FighterZ PS5 Game,"Rating 5.000001 out of 5
(1)",£13.99,null,https://www.argos.co.uk/product/4161457,1726412331329
106,MX vs ATV Legends Season One PS5 Game,"Rating 5.000001 out of 5
(1)",£12.99,null,https://www.argos.co.uk/product/3930885,1726412331385
107,Unicorn Overlord: Standard Edition PS5 Game,"Rating 5.000001 out of 5
(1)",£49.99,null,https://www.argos.co.uk/product/3341364,1726412331428
108,CYGNI: All Guns Blazing PS5 Game,"Rating 5.000001 out of 5
(1)",£32.99,null,https://www.argos.co.uk/product/3157053,1726412331471
109,DREDGE Deluxe Edition PS5 Game,"Rating 5.000001 out of 5
(1)",£21.99,null,https://www.argos.co.uk/product/2158888,1726412331541
110,Miraculous: Rise Of The Sphinx PS5 Game,"Rating 5.000001 out of 5
(1)",£25.99,null,https://www.argos.co.uk/product/1150241,1726412331578
111,Truck & Logistics Simulator PS5 Game,"Rating 4.000002 out of 5
(2)",£19.49,null,https://www.argos.co.uk/product/3989654,1726412331624
112,F1 Manager 23 PS5 Game,"Rating 4.000001 out of 5
(1)",£15.49,null,https://www.argos.co.uk/product/7141852,1726412331665
113,Dragon Ball Xenoverse 2 PS5 Game,"Rating 4.000001 out of 5
(1)",£13.99,null,https://www.argos.co.uk/product/4747668,1726412331700
114,Jack Holmes: Master of Puppets PS5 Game,"Rating 4.000001 out of 5
(1)",£23.99,null,https://www.argos.co.uk/product/4650504,1726412331744
115,Sand Land PS5 Game,"Rating 4.000001 out of 5
(1)",£25.99,null,https://www.argos.co.uk/product/4032586,1726412331783
116,Warhammer Age Of Sigmar: Realms Of Ruin PS5 Game,"Rating 4.000001 out of 5
(1)",£33.99,null,https://www.argos.co.uk/product/3630831,1726412331825
117,Devil May Cry 5 Special Edition PS5 Game,,£20.99,null,https://www.argos.co.uk/product/8566508,1726412331857
118,Demon's Souls PS5 Game,,£64.99,null,https://www.argos.co.uk/product/7561456,1726412331893
119,Undisputed WBC Deluxe Edition PS5 Game Pre-Order,,£60.99,null,https://www.argos.co.uk/product/5829664,1726412331928
120,Assassin's Creed Shadows Gold Edition PS5 Game Pre-Order,,£84.99,null,https://www.argos.co.uk/product/5799828,1726412331967
121,Squirrel with a Gun PS5 Game Pre-Order,,£23.99,null,https://www.argos.co.uk/product/5793051,1726412332009
122,34 Sports Game: World Edition PS5 Game,,£23.99,null,https://www.argos.co.uk/product/5665402,1726412332042
123,Five Nights at Freddy's: Help Wanted 2 PS5 Game,,£29.99,null,https://www.argos.co.uk/product/5646988,1726412332077
124,Shin Megami Tensei V: Vengeance PS5 Game,,£44.99,null,https://www.argos.co.uk/product/5255331,1726412332117
125,Pool Party PS5 Game,,£16.99,null,https://www.argos.co.uk/product/5255238,1726412332150
126,Star Wars Outlaws Gold Edition PS5 Game,,£89.99,null,https://www.argos.co.uk/product/5251160,1726412332188
127,Outer Wilds: Archaeologist Edition PS5 Game,,£32.99,null,https://www.argos.co.uk/product/4881809,1726412332219
128,My Little Pony: A Zephyr Heights Mystery PS5 Game,,£34.99,null,https://www.argos.co.uk/product/4844743,1726412332262
129,MX vs ATV Legends 2024 MES Edition PS5 Game,,£21.99,null,https://www.argos.co.uk/product/4842350,1726412332294
130,Pacific Drive: Deluxe Edition PS5 Game,,£27.99,null,https://www.argos.co.uk/product/4729947,1726412332329
131,Disney Epic Mickey: Rebrushed PS5 Game Pre-Order,,£41.99,null,https://www.argos.co.uk/product/4650717,1726412332367
132,Withering Rooms PS5 Game,,£23.49,null,https://www.argos.co.uk/product/4650449,1726412332410
133,Whisker Waters PS5 Game,,£26.99,null,https://www.argos.co.uk/product/4650188,1726412332448
134,PAW Patrol World PS5 Game,,£22.99,null,https://www.argos.co.uk/product/4649687,1726412332488
135,Classified: France '44 PS5 Game,,£25.99,null,https://www.argos.co.uk/product/4633291,1726412332533
136,Bassmaster Fishing: Deluxe Edition PS5 Game,,£11.99,null,https://www.argos.co.uk/product/4332004,1726412332571
137,Peppa Pig: World Adventures PS5 Game,,£19.99,null,https://www.argos.co.uk/product/4199278,1726412332613
138,Agatha Christie: The ABC Murders PS5 Game,,£18.49,null,https://www.argos.co.uk/product/4197108,1726412332653
139,Until Dawn PS5 Game Pre-Order,,£55.99,null,https://www.argos.co.uk/product/4195605,1726412332694
140,Tomb Raider I-III Remastered PS5 Game Pre-Order,,£29.99,null,https://www.argos.co.uk/product/4090250,1726412332726
141,Dragon Age: The Veilguard PS5 Game Pre-Order,,£59.99,null,https://www.argos.co.uk/product/4076061,1726412332768
142,Barbie Project Friendship PS5 Game Pre-Order,,£34.99,null,https://www.argos.co.uk/product/4075660,1726412332797
143,Dragon Age: The Veilguard Deluxe Edition PS5 Game Pre-Order,,£79.99,null,https://www.argos.co.uk/product/4075220,1726412332834
144,Harry Potter: Quidditch Champions Dlx Ed PS5 Game Pre-Order,,£29.99,null,https://www.argos.co.uk/product/4017343,1726412332871
145,Evil West PS5 Game,,£19.99,null,https://www.argos.co.uk/product/4014463,1726412332916
146,Sociable Soccer 24 PS5 Game Pre-Order,,£21.99,null,https://www.argos.co.uk/product/3633890,1726412332963
147,Ambulance Life: A Paramedic Simulator PS5 Game Pre-Order,,£31.99,null,https://www.argos.co.uk/product/3633003,1726412333001
148,GRAVEN PS5 Game,,£17.99,null,https://www.argos.co.uk/product/3632561,1726412333035
149,Garden Life: A Cozy Simulator PS5 Game,,£31.99,null,https://www.argos.co.uk/product/3630680,1726412333072
150,Emergency Call - The Attack Squad PS5 Game,,£21.99,null,https://www.argos.co.uk/product/3446001,1726412333106
151,Seed Of Life PS5 Game,,£26.99,null,https://www.argos.co.uk/product/3445473,1726412333143
152,Welcome To ParadiZe PS5 Game,,£31.99,null,https://www.argos.co.uk/product/3429994,1726412333178
153,Atari Mania PS5 Game,,£30.99,null,https://www.argos.co.uk/product/3426241,1726412333220
154,CATAN - Console Edition Super Deluxe PS4 Game,,£20.99,null,https://www.argos.co.uk/product/3421820,1726412333256
155,Eiyuden Chronicle: Hundred Heroes PS5 Game,,£38.99,null,https://www.argos.co.uk/product/3347368,1726412333294
156,Trepang2 PS5 Game,,£25.99,null,https://www.argos.co.uk/product/3287576,1726412333327
157,Pneumata PS5 Game Pre-Order,,£31.99,null,https://www.argos.co.uk/product/3269099,1726412333370
158,Deep Rock Galactic: Special Edition PS5 Game,,£14.99,null,https://www.argos.co.uk/product/3266573,1726412333411
159,War Hospital PS5 Game,,£39.99,null,https://www.argos.co.uk/product/3260490,1726412333447
160,Eternights PS5 Game,,£23.99,null,https://www.argos.co.uk/product/3260414,1726412333488
161,Railway Empire 2 - Deluxe Edition PS5 Game,,£36.99,null,https://www.argos.co.uk/product/3241567,1726412333527
162,Skull Island: Rise Of Kong PS5 Game,,£29.99,null,https://www.argos.co.uk/product/3202991,1726412333565
163,Animal Hospital PS5 Game,,£31.99,null,https://www.argos.co.uk/product/3186701,1726412333606
164,OVERPASS 2 PS5 Game,,£39.99,null,https://www.argos.co.uk/product/3186495,1726412333642
165,The Grinch: Christmas Adventures PS5 Game Pre-Order,,£30.99,null,https://www.argos.co.uk/product/3158351,1726412333685
166,Wildshade: Unicorn Champions PS5 Game,,£31.99,null,https://www.argos.co.uk/product/3157840,1726412333724
167,Battle Of Rebels PS5 Game Pre-Order,,£26.99,null,https://www.argos.co.uk/product/3157383,1726412333767
168,41 Hours PS5 Game,,£21.99,null,https://www.argos.co.uk/product/3157345,1726412333804
169,Cities: Skylines II Day One Edition PS5 Game Pre-Order,,£41.99,null,https://www.argos.co.uk/product/3156614,1726412333840
170,30 Sport Games In 1 PS5 Game,,£23.99,null,https://www.argos.co.uk/product/3154410,1726412333881
171,My Time At Sandrock PS5 Game,,£35.99,null,https://www.argos.co.uk/product/3137183,1726412333922
172,Jumanji: Wild Adventures PS5 Game,,£22.99,null,https://www.argos.co.uk/product/3136775,1726412333964
173,Monopoly PS5 Game Pre-Order,,£24.99,null,https://www.argos.co.uk/product/3031351,1726412334008
174,EVOTINCTION PS5 Game,,£27.99,null,https://www.argos.co.uk/product/3031052,1726412334053
175,EVERSPACE 2: Stellar Edition PS5 Game,,£44.99,null,https://www.argos.co.uk/product/2720168,1726412334093
176,Alan Wake 2 Deluxe Edition PS5 Game Pre-Order,,£64.99,null,https://www.argos.co.uk/product/2655185,1726412334144
177,DRAGON BALL: Sparking ZERO PS5 Game Pre-Order,,£58.99,null,https://www.argos.co.uk/product/2655161,1726412334184
178,Planet Zoo: Console Edition PS5 Game Pre-Order,,£34.99,null,https://www.argos.co.uk/product/2655006,1726412334226
179,Dragon Quest III HD-2D Remake PS5 Game Pre-Order,,£51.99,null,https://www.argos.co.uk/product/2654935,1726412334269
180,Life is Strange: Double Exposure PS5 Game Pre-Order,,£44.99,null,https://www.argos.co.uk/product/2654760,1726412334303
181,Metaphor: ReFantazio PS5 Game Pre-Order,,£52.99,null,https://www.argos.co.uk/product/2154301,1726412334344
182,Still Wakes the Deep PS5 Game,,£30.99,null,https://www.argos.co.uk/product/2151108,1726412334381
183,Like a Dragon: Ishin! PS5 Game,,£31.99,null,https://www.argos.co.uk/product/1249190,1726412334424
184,Wreckreation PS5 Game Pre-Order,,£29.99,null,https://www.argos.co.uk/product/1155466,1726412334458
185,My Fantastic Ranch PS5 Game,,£18.99,null,https://www.argos.co.uk/product/1150399,1726412334504
186,Are You Smarter Than A 5th Grader? PS5 Game,,£11.99,null,https://www.argos.co.uk/product/1127786,1726412334543
187,Valkyrie Elysium PS5 Game,,£27.99,null,https://www.argos.co.uk/product/1126622,1726412334579
188,South Park: Snow Day! PS5 Game,"Rating 3.700003 out of 5
(3)",£19.99,null,https://www.argos.co.uk/product/7046225,1726412334613
189,Crash Team Rumble Deluxe Edition PS5 Game,"Rating 3.000001 out of 5
(1)",£19.99,null,https://www.argos.co.uk/product/5813041,1726412334649
190,Alone In The Dark PS5 Game,"Rating 3.700006 out of 5
(6)",£37.99,null,https://www.argos.co.uk/product/4700629,1726412334682
191,Richman 11 PS5 Game,"Rating 5.000001 out of 5
(1)",£18.99,null,https://www.argos.co.uk/product/3429918,1726412334713
192,Yars Rising PS5 Game,,£25.99,null,https://www.argos.co.uk/product/7129661,1726412334755
193,TMNT: Mutants Unleashed Deluxe Edition PS5 Game Pre-Order,,£54.99,null,https://www.argos.co.uk/product/7124367,1726412334797
194,Skydance's Behemoth PS VR2 Game (PS5) Pre-Order,,£32.99,null,https://www.argos.co.uk/product/6609735,1726412334838
195,Tevi PS5 Game,,£31.99,null,https://www.argos.co.uk/product/5829822,1726412334889
196,Asphalt Legends Unite Supercharged Edn PS5 Game Pre-Order,,£31.99,null,https://www.argos.co.uk/product/5829729,1726412334929
197,Cat Rescue Story PS5 Game Pre-Order,,£31.99,null,https://www.argos.co.uk/product/5829516,1726412334968
198,Core Keeper PS5 Game Pre-Order,,£21.99,null,https://www.argos.co.uk/product/5829475,1726412335008
199,Totally Spies - Cyber Mission PS5 Game Pre-Order,,£39.99,null,https://www.argos.co.uk/product/5822702,1726412335047
200,Cat Quest III PS5 Game,,£23.99,null,https://www.argos.co.uk/product/5813883,1726412335090
201,Gothic 1 Remake PS5 Game Pre-Order,,£41.99,null,https://www.argos.co.uk/product/5793006,1726412335131
202,Wild Bastards PS5 Game,,£31.99,null,https://www.argos.co.uk/product/5665361,1726412335172
203,Flint - Treasure of Oblivion PS5 Game Pre-Order,,£44.99,null,https://www.argos.co.uk/product/5664771,1726412335220
204,Dustborn Deluxe Edition PS5 Game,,£31.99,null,https://www.argos.co.uk/product/5664599,1726412335257
205,Amerzone: The Explorer's Legacy PS5 Game Pre-Order,,£39.99,null,https://www.argos.co.uk/product/5027909,1726412335298
206,Empire Of The Ants Limited Edition PS5 Game Pre-Order,,£44.99,null,https://www.argos.co.uk/product/5027253,1726412335343
207,Police Simulator Patrol Officers Gold Edition PS5 Game,,£33.99,null,https://www.argos.co.uk/product/5027208,1726412335385
208,Terminator Survivors PS5 Game Pre-Order,,£45.99,null,https://www.argos.co.uk/product/5025736,1726412335423
209,Blazing Strike PS5 Game Pre-Order,,£30.99,null,https://www.argos.co.uk/product/4883962,1726412335481
210,Leo the Firefighter Cat PS5 Game,,£23.99,null,https://www.argos.co.uk/product/4883694,1726412335553
211,TMNT: Mutants Unleashed PS5 Game Pre-Order,,£32.99,null,https://www.argos.co.uk/product/4881586,1726412335630
212,Unknown 9 Awakening PS5 Game Pre-Order,,£42.99,null,https://www.argos.co.uk/product/4849243,1726412335695
213,Rugrats Adventures In Gameland PS5 Game Pre-Order,,£33.99,null,https://www.argos.co.uk/product/4847128,1726412335745
214,Construction Simulator Gold Edition PS5 Game,,£44.99,null,https://www.argos.co.uk/product/4747950,1726412335876
215,The Talos Principle 2: Devolver Deluxe PS5 Game,,£34.99,null,https://www.argos.co.uk/product/4663364,1726412335948
216,Bramble: The Mountain King PS5 Game,,£27.99,null,https://www.argos.co.uk/product/4658197,1726412336020
217,The Inquisitor Deluxe Edition PS5 Game,,£33.99,null,https://www.argos.co.uk/product/4658166,1726412336075
218,Cocoon PS5 Game,,£24.99,null,https://www.argos.co.uk/product/4494571,1726412336114
219,Demon Slayer Kimetsu No Yaiba Sweep The Board PS5 Game,,£44.99,null,https://www.argos.co.uk/product/4466774,1726412336147
220,Soulstice: Deluxe Edition PS5 Game,,£26.99,null,https://www.argos.co.uk/product/4238294,1726412336187
